2023-02-16 18:51:05.334 [info] Log level: Info
2023-02-16 18:51:05.334 [info] Validating found git in: "C:\Program Files\Git\cmd\git.exe"
2023-02-16 18:51:05.472 [info] Using git "2.35.1.windows.2" from "C:\Program Files\Git\cmd\git.exe"
2023-02-16 18:51:05.624 [info] > git rev-parse --show-toplevel [139ms]
2023-02-16 18:51:05.739 [info] > git rev-parse --show-toplevel [100ms]
2023-02-16 18:51:06.370 [info] > git rev-parse --show-toplevel [616ms]
2023-02-16 18:51:06.696 [info] > git rev-parse --show-toplevel [272ms]
2023-02-16 18:51:06.895 [info] > git rev-parse --show-toplevel [177ms]
2023-02-16 18:51:07.093 [info] > git rev-parse --show-toplevel [189ms]
2023-02-16 18:51:07.378 [info] > git rev-parse --show-toplevel [256ms]
2023-02-16 18:51:07.562 [info] > git rev-parse --show-toplevel [175ms]
2023-02-16 18:51:07.681 [info] > git rev-parse --show-toplevel [103ms]
2023-02-16 18:51:07.755 [info] > git rev-parse --show-toplevel [64ms]
2023-02-16 18:51:07.823 [info] > git rev-parse --show-toplevel [60ms]
2023-02-16 18:51:07.899 [info] > git rev-parse --show-toplevel [70ms]
2023-02-16 18:51:07.974 [info] > git rev-parse --show-toplevel [66ms]
2023-02-16 18:51:08.070 [info] > git rev-parse --show-toplevel [87ms]
2023-02-16 18:51:08.177 [info] > git rev-parse --show-toplevel [95ms]
2023-02-16 18:51:08.326 [info] > git rev-parse --show-toplevel [139ms]
2023-02-16 18:51:08.445 [info] > git rev-parse --show-toplevel [109ms]
2023-02-16 18:51:08.538 [info] > git rev-parse --show-toplevel [83ms]
2023-02-16 18:51:08.628 [info] > git rev-parse --show-toplevel [81ms]
2023-02-16 18:51:08.710 [info] > git rev-parse --show-toplevel [73ms]
2023-02-16 18:51:08.808 [info] > git rev-parse --show-toplevel [91ms]
2023-02-16 18:51:08.895 [info] > git rev-parse --show-toplevel [77ms]
2023-02-16 18:51:08.972 [info] > git rev-parse --show-toplevel [68ms]
2023-02-16 18:51:09.057 [info] > git rev-parse --show-toplevel [78ms]
2023-02-16 18:51:09.146 [info] > git rev-parse --show-toplevel [82ms]
2023-02-16 18:51:09.223 [info] > git rev-parse --show-toplevel [68ms]
2023-02-16 18:51:09.307 [info] > git rev-parse --show-toplevel [78ms]
2023-02-16 18:51:13.062 [info] > git rev-parse --show-toplevel [224ms]
2023-02-16 18:51:23.122 [info] > git rev-parse --show-toplevel [74ms]
2023-02-16 18:58:05.807 [info] > git rev-parse --show-toplevel [198ms]
2023-02-16 18:59:08.769 [info] > git rev-parse --show-toplevel [82ms]
2023-02-16 19:00:02.864 [info] > git rev-parse --show-toplevel [69ms]
2023-02-16 19:00:11.850 [info] > git rev-parse --show-toplevel [67ms]
2023-02-16 19:01:25.870 [info] > git rev-parse --show-toplevel [85ms]
2023-02-16 19:01:38.794 [info] > git rev-parse --show-toplevel [179ms]
2023-02-16 19:01:51.180 [info] > git rev-parse --show-toplevel [52ms]
2023-02-16 19:01:58.920 [info] > git rev-parse --show-toplevel [56ms]
2023-02-16 19:02:00.622 [info] > git rev-parse --show-toplevel [84ms]
2023-02-16 19:02:27.680 [info] > git rev-parse --show-toplevel [174ms]
2023-02-16 19:02:29.613 [info] > git rev-parse --show-toplevel [49ms]
2023-02-16 19:03:52.482 [info] > git rev-parse --show-toplevel [422ms]
2023-02-16 19:04:10.189 [info] > git rev-parse --show-toplevel [60ms]
2023-02-16 19:04:25.271 [info] > git rev-parse --show-toplevel [87ms]
2023-02-16 19:05:14.936 [info] > git rev-parse --show-toplevel [49ms]
2023-02-16 19:06:11.856 [info] > git rev-parse --show-toplevel [48ms]
2023-02-16 19:07:38.919 [info] > git rev-parse --show-toplevel [56ms]
2023-02-16 19:09:04.897 [info] > git rev-parse --show-toplevel [43ms]
2023-02-16 19:10:38.768 [info] > git rev-parse --show-toplevel [67ms]
2023-02-16 19:10:49.346 [info] > git rev-parse --show-toplevel [138ms]
2023-02-16 19:11:52.206 [info] > git rev-parse --show-toplevel [56ms]
2023-02-16 19:11:58.574 [info] > git rev-parse --show-toplevel [53ms]
2023-02-16 19:12:05.352 [info] > git rev-parse --show-toplevel [48ms]
2023-02-16 19:19:20.069 [info] > git rev-parse --show-toplevel [48ms]
2023-02-16 19:26:26.057 [info] > git rev-parse --show-toplevel [47ms]
2023-02-16 19:26:27.066 [info] > git rev-parse --show-toplevel [47ms]
2023-02-16 19:36:29.527 [info] > git rev-parse --show-toplevel [62ms]
2023-02-16 19:36:31.813 [info] > git rev-parse --show-toplevel [52ms]
2023-02-16 19:36:38.060 [info] > git rev-parse --show-toplevel [54ms]
2023-02-16 19:37:04.002 [info] > git rev-parse --show-toplevel [70ms]
2023-02-16 19:37:10.362 [info] > git rev-parse --show-toplevel [54ms]
2023-02-16 19:37:12.807 [info] > git rev-parse --show-toplevel [50ms]
2023-02-16 19:37:15.605 [info] > git rev-parse --show-toplevel [77ms]
2023-02-16 21:57:36.340 [info] > git rev-parse --show-toplevel [97ms]
2023-02-16 21:57:40.305 [info] > git rev-parse --show-toplevel [53ms]
2023-02-16 22:04:55.269 [info] > git rev-parse --show-toplevel [50ms]
2023-02-16 22:06:07.285 [info] > git rev-parse --show-toplevel [56ms]
2023-02-16 22:06:30.556 [info] > git rev-parse --show-toplevel [58ms]
2023-02-16 22:15:11.341 [info] > git rev-parse --show-toplevel [53ms]
2023-02-16 22:16:55.055 [info] > git rev-parse --show-toplevel [58ms]
2023-02-16 22:22:02.608 [info] > git rev-parse --show-toplevel [64ms]
2023-02-16 22:22:56.541 [info] > git rev-parse --show-toplevel [63ms]
2023-02-16 22:24:05.244 [info] > git rev-parse --show-toplevel [53ms]
2023-02-16 22:24:32.402 [info] > git rev-parse --show-toplevel [50ms]
2023-02-16 22:24:46.813 [info] > git rev-parse --show-toplevel [55ms]
2023-02-16 22:25:33.291 [info] > git rev-parse --show-toplevel [55ms]
2023-02-16 22:25:55.419 [info] > git rev-parse --show-toplevel [84ms]
